Player_Name,Country,Matches,Innings,Total_100s,Total_50s,Batting_Avg,Strike_Rate
S.A. Yadav,India,65,62,4,15,45.20,172.5
T. David,Australia,48,42,0,5,32.15,168.4
N. Pooran,West Indies,95,88,2,12,34.50,145.2
H. Klaasen,South Africa,55,50,0,7,30.85,155.6
F. Allen,New Zealand,42,42,2,4,26.40,162.1
P. Nissanka,Sri Lanka,54,54,1,10,29.30,128.5
J. Bairstow,England,75,70,0,11,31.40,140.2
R. Khan,Afghanistan,88,52,0,1,16.20,150.4
R. Gurbaz,Afghanistan,58,58,2,9,32.10,142.6
L. Livingstone,England,45,40,1,3,28.70,160.2
S. Samson,India,35,32,1,4,33.45,148.9
M. Marsh,Australia,62,58,0,10,34.20,135.4
Q. de Kock,South Africa,92,91,1,16,32.10,138.9
G. Phillips,New Zealand,74,65,2,9,33.60,144.1
S. Raza,Zimbabwe,82,78,0,8,30.40,132.5
Y. Jaiswal,India,30,30,2,6,38.10,165.4
T. Head,Australia,45,42,1,5,35.20,158.7
J. Buttler,England,115,105,1,22,35.60,144.8
D. Miller,South Africa,125,110,2,8,34.20,142.1
S. Al Hasan,Bangladesh,122,120,0,10,24.30,122.4
S. Gill,India,25,25,1,3,31.20,146.5
A. Russell,West Indies,80,72,0,4,22.80,165.3
G. Maxwell,Australia,108,100,5,11,30.20,154.6
H. Pandya,India,98,82,0,5,26.40,140.2
B. King,West Indies,55,52,0,8,31.50,130.4
S. Ayub,Pakistan,25,25,0,3,24.10,148.5
R. Powell,West Indies,78,70,1,6,27.30,145.2
M. Nabi,Afghanistan,120,105,0,5,21.40,128.6
R. Hendricks,South Africa,60,59,0,15,33.50,131.2
B. Azam,Pakistan,115,110,3,36,41.20,129.8
M. Rizwan,Pakistan,95,85,1,28,48.50,127.4
I. Kishan,India,35,35,0,6,28.40,130.2
D. Conway,New Zealand,52,50,0,11,40.20,128.5
R. Gaikwad,India,25,23,1,4,36.50,142.1
M. Santner,New Zealand,98,65,0,1,18.40,125.6
D. Mitchell,New Zealand,65,60,0,7,29.80,138.4
K. Pollard,West Indies,101,92,0,6,25.40,144.5
J. Holder,West Indies,62,45,0,0,16.20,122.4
M. Wood,England,35,10,0,0,10.40,135.2
S. Afridi,Pakistan,72,25,0,0,14.20,128.6
H. Ali,Pakistan,55,32,0,1,18.50,148.2
A. Nortje,South Africa,40,8,0,0,9.20,115.4
K. Rabada,South Africa,62,20,0,0,12.50,110.2
J. Archer,England,25,10,0,0,14.50,132.4
S. Curran,England,52,40,0,1,19.20,134.6
T. Boult,New Zealand,60,15,0,0,8.40,105.2
I. Sodhi,New Zealand,110,25,0,0,11.20,108.4
T. Southee,New Zealand,125,40,0,0,13.50,115.8
W. Hasaranga,Sri Lanka,68,55,0,2,18.40,130.6
M. Pathirana,Sri Lanka,20,5,0,0,7.50,110.2
C. Asalanka,Sri Lanka,50,48,0,6,26.50,125.4
B. Stokes,England,45,38,0,1,21.40,128.2
M. Ali,England,88,78,0,7,22.50,145.6
D. Malan,England,62,60,1,16,36.40,132.8
A. Hales,England,75,75,1,12,30.20,147.5
E. Lewis,West Indies,53,52,2,10,30.40,155.6
C. Gayle,West Indies,79,75,2,14,27.80,137.4
K. Warner,Australia,105,105,1,24,32.50,140.2
S. Smith,Australia,68,55,0,5,25.40,125.6
M. Stoinis,Australia,65,58,0,4,28.40,146.2
W. Agar,Australia,15,8,0,0,12.50,135.4
P. Cummins,Australia,55,22,0,0,14.80,128.2
A. Zampa,Australia,85,20,0,0,10.20,110.4
R. Jadeja,India,75,42,0,0,24.50,125.8
A. Singh,India,52,10,0,0,8.50,115.2
K. Yadav,India,40,12,0,0,12.40,105.4
Y. Chahal,India,82,10,0,0,7.40,102.4
M. Siraj,India,35,8,0,0,9.20,108.6
R. Bishnoi,India,25,5,0,0,11.50,120.4
M. Khan,Pakistan,42,35,1,3,28.40,135.6
F. Zaman,Pakistan,78,75,0,8,27.50,128.4
I. Ahmed,Pakistan,25,22,0,3,32.40,152.1
S. Khan,Pakistan,105,72,0,3,19.20,144.5
N. Shah,Pakistan,35,10,0,0,11.40,125.2
I. Wasim,Pakistan,75,58,0,2,15.60,132.4
K. Mendis,Sri Lanka,72,70,0,6,22.40,134.6
D. Shanaka,Sri Lanka,95,85,0,3,20.50,142.1
T. Dilshan,Sri Lanka,80,78,1,13,28.10,120.4
M. Jayawardene,Sri Lanka,55,55,1,9,31.50,128.2
L. Malinga,Sri Lanka,84,25,0,0,8.40,105.4
B. McCullum,New Zealand,71,70,2,15,35.60,136.2
M. Guptill,New Zealand,122,118,2,20,31.80,135.6
C. Munro,New Zealand,65,62,3,11,31.40,156.4
L. Taylor,New Zealand,102,94,0,7,25.80,122.4
J. Neesham,New Zealand,78,65,0,2,22.10,158.4
M. Chapman,New Zealand,45,40,0,3,26.50,132.4
H. Tector,Ireland,72,68,0,5,24.50,125.6
P. Stirling,Ireland,145,142,1,23,28.40,135.2
G. Delany,Ireland,55,48,0,3,19.50,132.4
M. Adair,Ireland,62,35,0,1,14.20,128.6
S. Edwards,Netherlands,68,60,0,5,25.40,120.4
M. O'Dowd,Netherlands,55,54,0,9,29.10,122.4
L. van Beek,Netherlands,35,22,0,0,16.50,138.2
R. Klein,Netherlands,15,8,0,0,11.40,125.6
B. Leede,Netherlands,42,38,0,2,24.10,118.4
G. Munsey,Scotland,71,68,0,11,30.50,142.4
R. Berrington,Scotland,92,85,1,10,31.40,128.6
M. Watt,Scotland,65,22,0,0,14.50,120.2
N. Smith,USA,12,12,0,1,22.40,128.5
S. Jahangir,USA,15,15,0,2,26.50,122.4
